Zeit Kanal A
(ms) (mV)
-38.25665000 2.66426600
-38.23617000 1.76397000
-38.21569000 2.66426600
-38.19521000 2.66426600
-38.17472000 2.66426600
-38.15425000 3.56151000
-38.13377000 2.66426600
-38.11329000 2.66426600
-38.09281000 1.76397000
-38.07233000 2.66426600
-38.05185000 1.76397000
-38.03137000 2.66426600
-38.01089000 3.56151000
-37.99041000 2.66426600
-37.96993000 2.66426600
-37.94945000 2.66426600
-37.92897000 2.66426600
-37.90849000 1.76397000
-37.88801000 2.66426600
-37.86753000 3.56151000
-37.84705000 2.66426600
-37.82657000 3.56151000
-37.80609000 3.56151000
-37.78561000 3.56151000
-37.76513000 3.56151000
-37.74465000 2.66426600
-37.72417000 2.66426600
-37.70369000 3.56151000
-37.68321000 3.56151000
-37.66273000 3.56151000
-37.64225000 3.56151000
-37.62177000 2.66426600
-37.60129000 3.56151000
-37.58081000 1.76397000
-37.56033000 2.66426600
-37.53985000 2.66426600
-37.51937000 3.56151000
-37.49889000 3.56151000
-37.47840000 2.66426600
-37.45793000 3.56151000
-37.43745000 2.66426600
-37.41697000 2.66426600
-37.39649000 2.66426600
-37.37601000 2.66426600
-37.35553000 3.56151000
-37.33505000 3.56151000
-37.31457000 3.56151000
-37.29409000 2.66426600
-37.27361000 2.66426600
-37.25313000 1.76397000
-37.23265000 2.66426600
-37.21217000 2.66426600
-37.19169000 3.56151000
-37.17121000 3.56151000
-37.15073000 3.56151000
-37.13025000 3.56151000
-37.10977000 3.56151000
-37.08929000 2.66426600
-37.06881000 2.66426600
-37.04833000 2.66426600
-37.02785000 2.66426600
-37.00737000 2.66426600
-36.98689000 3.56151000
-36.96640000 2.66426600
-36.94593000 3.56151000
-36.92545000 3.56151000
-36.90497000 2.66426600
-36.88449000 2.66426600
-36.86401000 39.52147000
-36.84353000 38.62117000
-36.82305000 35.02609000
-36.80257000 33.22855000
-36.78209000 30.53072000
-36.76161000 28.73318000
-36.74113000 25.13810000
-36.72065000 24.23780000
-36.70017000 21.53996000
-36.67969000 20.64272000
-36.65921000 20.64272000
-36.63873000 17.94488000
-36.61825000 17.94488000
-36.59777000 16.14734000
-36.57729000 15.24705000
-36.55680000 13.44951000
-36.53633000 12.54921000
-36.51585000 11.65197000
-36.49537000 10.75167000
-36.47489000 10.75167000
-36.45441000 9.85137500
-36.43393000 9.85137500
-36.41344000 8.95413000
-36.39297000 7.15659000
-36.37249000 7.15659000
-36.35201000 7.15659000
-36.33153000 7.15659000
-36.31105000 6.25629500
-36.29057000 7.15659000
-36.27009000 6.25629500
-36.24961000 6.25629500
-36.22913000 5.35905000
-36.20865000 5.35905000
-36.18817000 4.46180600
-36.16769000 5.35905000
-36.14721000 5.35905000
-36.12673000 4.46180600
-36.10625000 5.35905000
-36.08577000 3.56151000
-36.06529000 3.56151000
-36.04481000 3.56151000
-36.02433000 3.56151000
-36.00385000 3.56151000
-35.98337000 3.56151000
-35.96289000 4.46180600
-35.94241000 3.56151000
-35.92193000 3.56151000
-35.90145000 3.56151000
