Zeit,Kanal A,Kanal B
(ms),(mV),(V)

-4.44032600,3.36466600,-1.51963900
-4.43904600,2.91604400,-1.53733900
-4.43776600,2.91604400,-1.53733900
-4.43648600,2.46742200,-1.55497900
-4.43520600,2.91604400,-1.53733900
-4.43392600,2.46742200,-1.53733900
-4.43264600,2.46742200,-1.53733900
-4.43136600,2.46742200,-1.53733900
-4.43008600,2.91604400,-1.53733900
-4.42880600,2.46742200,-1.53733900
-4.42752600,2.46742200,-1.53733900
-4.42624600,2.91604400,-1.53733900
-4.42496600,2.46742200,-1.53733900
-4.42368700,2.91604400,-1.53733900
-4.42240600,2.46742200,-1.53733900
-4.42112600,2.91604400,-1.51963900
-4.41984600,2.91604400,-1.53733900
-4.41856600,2.91604400,-1.53733900
-4.41728600,1.57017700,-1.55497900
-4.41600600,2.01879900,-1.55497900
-4.41472600,1.57017700,-1.55497900
-4.41344600,1.57017700,-1.53733900
-4.41216600,2.01879900,-1.53733900
-4.41088600,2.91604400,-1.48435900
-4.40960600,2.91604400,-1.51963900
-4.40832600,3.36466600,-1.51963900
-4.40704600,3.36466600,-1.51963900
-4.40576600,3.36466600,-1.51963900
-4.40448600,3.36466600,-1.51963900
-4.40320600,3.36466600,-1.53733900
-4.40192600,2.91604400,-1.53733900
-4.40064600,2.46742200,-1.53733900
-4.39936600,2.46742200,-1.53733900
-4.39808600,2.46742200,-1.53733900
-4.39680600,2.91604400,-1.53733900
-4.39552600,2.46742200,-1.53733900
-4.39424600,2.91604400,-1.53733900
-4.39296600,2.46742200,-1.53733900
-4.39168600,2.91604400,-1.53733900
-4.39040600,2.46742200,-1.53733900
-4.38912600,2.46742200,-1.53733900
-4.38784600,2.46742200,-1.53733900
-4.38656600,2.91604400,-1.53733900
-4.38528600,2.46742200,-1.53733900
-4.38400600,2.46742200,-1.53733900
-4.38272600,2.91604400,-1.53733900
-4.38144600,1.57017700,-1.53733900
-4.38016600,1.57017700,-1.55497900
-4.37888600,1.57017700,-1.55497900
-4.37760600,1.57017700,-1.53733900
-4.37632600,2.01879900,-1.53733900
-4.37504600,2.91604400,-1.51963900
-4.37376600,2.91604400,-1.50199900
-4.37248600,2.91604400,-1.51963900
-4.37120600,3.36466600,-1.51963900
-4.36992600,3.36466600,-1.51963900
-4.36864600,3.36466600,-1.51963900
-4.36736600,2.91604400,-1.51963900
-4.36608600,2.91604400,-1.53733900
-4.36480600,2.46742200,-1.53733900
-4.36352600,2.46742200,-1.53733900
-4.36224600,2.46742200,-1.53733900
-4.36096600,2.91604400,-1.53733900
-4.35968600,2.46742200,-1.53733900
-4.35840600,2.91604400,-1.53733900
-4.35712600,2.91604400,-1.51963900
-4.35584600,2.46742200,-1.53733900
-4.35456700,2.91604400,-1.53733900
-4.35328600,2.46742200,-1.53733900
-4.35200600,2.46742200,-1.53733900
-4.35072600,2.46742200,-1.53733900
-4.34944600,2.91604400,-1.53733900
-4.34816600,2.46742200,-1.53733900
-4.34688600,2.91604400,-1.53733900
-4.34560600,2.91604400,-1.53733900
-4.34432600,2.01879900,-1.55497900
-4.34304600,2.01879900,-1.55497900
-4.34176600,1.57017700,-1.53733900
-4.34048600,2.01879900,-1.53733900
-4.33920600,2.01879900,-1.53733900
-4.33792600,2.91604400,-1.50199900
-4.33664600,2.91604400,-1.51963900
-4.33536600,2.91604400,-1.51963900
-4.33408600,3.36466600,-1.51963900
-4.33280600,2.91604400,-1.51963900
-4.33152600,3.36466600,-1.51963900
-4.33024600,2.91604400,-1.53733900
-4.32896600,2.91604400,-1.53733900
-4.32768600,2.46742200,-1.53733900
-4.32640600,2.46742200,-1.53733900
-4.32512600,2.46742200,-1.53733900
-4.32384600,2.46742200,-1.53733900
-4.32256600,2.46742200,-1.53733900
-4.32128600,2.46742200,-1.53733900
-4.32000600,2.46742200,-1.53733900
-4.31872600,2.91604400,-1.51963900
-4.31744600,2.46742200,-1.53733900
-4.31616600,2.46742200,-1.53733900
-4.31488600,2.46742200,-1.53733900
-4.31360600,2.46742200,-1.53733900
-4.31232600,2.91604400,-1.53733900
-4.31104600,2.91604400,-1.53733900
-4.30976600,2.46742200,-1.53733900
-4.30848600,2.91604400,-1.53733900
-4.30720600,1.57017700,-1.57261900
-4.30592600,1.57017700,-1.55497900
-4.30464600,1.57017700,-1.53733900
-4.30336600,1.57017700,-1.53733900
-4.30208600,2.46742200,-1.51963900
-4.30080600,2.91604400,-1.50199900
-4.29952600,2.91604400,-1.51963900
-4.29824600,3.36466600,-1.51963900
-4.29696700,3.36466600,-1.51963900
-4.29568600,3.36466600,-1.51963900
-4.29440600,3.36466600,-1.51963900
-4.29312600,2.91604400,-1.53733900
-4.29184600,2.46742200,-1.53733900
-4.29056600,2.46742200,-1.53733900
-4.28928600,2.46742200,-1.53733900
-4.28800600,2.46742200,-1.53733900
-4.28672600,2.46742200,-1.53733900
-4.28544600,2.91604400,-1.53733900
-4.28416600,2.91604400,-1.51963900
-4.28288600,2.46742200,-1.53733900
