Zeit Kanal A Kanal B
(ms) (mV) (V)
-36.41344000 4.71053200 1.58720700
-36.39297000 5.15915400 1.60484600
-36.37249000 5.15915400 1.62254700
-36.35201000 4.71053200 1.58720700
-36.33153000 5.15915400 1.62254700
-36.31105000 4.26191000 1.60484600
-36.29057000 4.26191000 1.58720700
-36.27009000 3.36466600 1.58720700
-36.24961000 3.81328800 1.60484600
-36.22913000 4.26191000 1.62254700
-36.20865000 3.36466600 1.58720700
-36.18817000 4.71053200 1.62254700
-36.16769000 3.36466600 1.60484600
-36.14721000 3.81328800 1.58720700
-36.12673000 3.36466600 1.60484600
-36.10625000 3.36466600 1.58720700
-36.08577000 2.46742200 1.58720700
-36.06529000 3.36466600 1.60484600
-36.04481000 3.36466600 1.62254700
-36.02433000 2.91604400 1.58720700
-36.00385000 3.36466600 1.62254700
-35.98337000 3.36466600 1.58720700
-35.96289000 2.91604400 1.58720700
-35.94241000 1.57017700 1.56956700
-35.92193000 2.91604400 1.58720700
-35.90145000 2.46742200 1.58720700
-35.88097000 2.91604400 1.58720700
-35.86049000 3.36466600 1.62254700
-35.84001000 2.91604400 1.58720700
-35.81953000 3.36466600 1.60484600
-35.79905000 2.91604400 1.58720700
-35.77857000 2.46742200 1.58720700
-35.75809000 1.57017700 1.56956700
-35.73761000 2.46742200 1.58720700
-35.71712000 2.91604400 -1.55497900
-35.69665000 2.46742200 -1.59025800
-35.67617000 2.91604400 -1.59025800
-35.65569000 2.46742200 -1.59025800
-35.63521000 2.91604400 -1.60795900
-35.61473000 2.46742200 -1.59025800
-35.59425000 2.46742200 -1.60795900
-35.57377000 1.57017700 -1.60795900
-35.55329000 2.46742200 -1.59025800
-35.53281000 2.91604400 -1.59025800
-35.51233000 2.46742200 -1.60795900
-35.49185000 2.91604400 -1.59025800
-35.47137000 2.91604400 -1.60795900
